ITEM NAME,CATEGORY
Ht 1.6mm  double galvanised  50kgs,FENCE
Ht 1.6mm GREEN steel wire 25kgs,FENCE
Ht 2.5mm  double galv 25kg,FENCE
Ht 2.5mm double galv 50kg,FENCE
Ht alluminium wire,FENCE
Ht alluminium wire 2.0,FENCE
Ht soft  G I wire 25kgs,FENCE
Ht wire 1.6mm 25kgs,FENCE
Ht wire 1.6mm 25kgs -2,FENCE
HT wire 1.6mm Galv No -2,FENCE
HT wire 1.6mm soft,FENCE
HT wire 2.5mm  50kg,FENCE
HT wire 2.5mm 25kg,FENCE
HT wire 2.5mm 25kgs -2,FENCE
HT wire 2.5mm 50kgs -2 ,FENCE
HT wire 2.5mm Double galv 25kg,FENCE
HT wire 2.5mm Galv No-2,FENCE
HT Wire 2.5mm soft 50kg ,FENCE
HV transformer,FENCE
Insulation Pipes 14MM,FENCE
Insulation pipes 15MM,FENCE
joint clamp,FENCE
JVA MONITOR BM1,FENCE
JVA/STAFIX   Adaptor,FENCE
KASUKU PLIERS,FENCE
LANSTER P500,FENCE
lightening diverter-Nemtek,FENCE
Mains transformer,FENCE
MEPS MONITOR,FENCE
pcb ez 640,FENCE
Pop gun / Riveting gun  ,FENCE
Porcelain strain insulator,FENCE
porcelaine bobbins,FENCE
Porcelaine gallagher,FENCE
Razor wire 450mm  10M,FENCE
Razor wire 450mm 10M-2,FENCE
Razor wire 450mm 9M,FENCE
Razor wire 450mm green,FENCE
Razor wire 450mm Green 10M-2,FENCE
Razor wire 730mm,FENCE
Razor wire gallagher,FENCE
Rivets  3/4*3/16,FENCE
Sestic glue,FENCE
Spring gate Big,FENCE
STARFIX FENCE MONITOR,FENCE
strain insulator,FENCE
Super UV strainer,FENCE
Support post 1M black,FENCE
support post 1M green,FENCE
Support post Galvanised,FENCE
Surge stop Hammer,FENCE
Tops 1(1/2) tops,FENCE
Tops 1(1/4) tops,FENCE
Tops 1x1,FENCE
Tops 2x2,FENCE
Undergate  cable Grey  100m,FENCE
undergate 200m,FENCE
Undergate cable 100mtrs  drumless,FENCE
Undergate cable 2.5mm 100m,FENCE
Undergate cable 305M  wooden drum,FENCE
Undergate cable 50M drum ,FENCE
Undergate cable 50M drumless,FENCE
undergate cable 50m gallagher,FENCE
VOLTMETER STAFIX DIGITAL,FENCE
Voltmeter-digital china,FENCE
Voltmeter-Gallagher Digital,FENCE
W- post Galvanised,FENCE
Warning  sign small,FENCE
Warning sign  hooked imported,FENCE
Warning sign  medium,FENCE
Warning signs Hooked 2,FENCE
W-insulator,FENCE
W-insulator wooden claw-BLACK,FENCE
Wire strainer,FENCE
W-post 1M 8lines black,FENCE
W-post 1M 8lines green,FENCE
w-post 1M 8lines grey,FENCE
 Alarm Bell 12v- 6'' DC,FIRE
Alarm Bell 12v- 8''  DC,FIRE
alarm bell 6''-240v  AC,FIRE
Alarm bell fire 24VDC 6'',FIRE
Alarm bell fire 24VDC 8'',FIRE
Asenware Fire Cable 1.5mm 100M  copper ,FIRE
Fire blanket 1m*1m box  ,FIRE
Fire blanket 1m*1m normal  ,FIRE
Fire cable 0.8mm 100m CCA,FIRE
Fire cable 0.8mm 305m,FIRE
Fire cable 0.8mm 500m CCA  ,FIRE
Fire cable 1.0MM 100m CCA,FIRE
Fire cable 1.5mm 100m BC  M-2,FIRE
Fire cable 1.5mm 100m CCA  ,FIRE
Fire cable 1.5mm 305m,FIRE
Fire cable 1.5mm 305m CCA  M-1,FIRE
Fire cable presmian 100m,FIRE
Fire panel 12 zones NO batt,FIRE
Fire panel 16 zones,FIRE
Fire panel 2  zones  ,FIRE
Fire panel 32 zones with batt  ,FIRE
Fire panel 4 zones,FIRE
Fire panel 4 zones - ztec,FIRE
Fire panel 8 zones,FIRE
Heat detector 24V (AW-CTD321)  ,FIRE
Heat detector Stand alone AW-D612,FIRE
Heat detector tester pole,FIRE
Heat detector Texecom,FIRE
Manual call point asenware ,FIRE
Manual call point fire,FIRE
Smoke detector Addressable,FIRE
Smoke detector tester pole,FIRE
smoke detector texacom ,FIRE
smoke detector wireless,FIRE
smoke detectors  24vdc  AW-CSD311,FIRE
smoke detectors stand alone (AW-SSD603)  ,FIRE
Smoke optica detector 12V (AW-CSD381-4W  ,FIRE
Smoke stand alone/Batt AW-D611,fire
smoke tester  ,FIRE
Strobe sounder big Fire PSL83,FIRE
Strobe sounder small Fire PSL82,FIRE
GARRET charger,GARRET
Garret handheld metal detector ,GARRET
GARRET Rechargable-Battery 9V,GARRET
Garret Super Scanner V  ORIGINAL  ,GARRET
Garret superwand metal detector,GARRET
Garret walkthrough detector   PD6500i  Biege,GARRET
Garret walkthrough detector   PD6500i Grey,GARRET
A HOUSE SLINDING GATE CIRCUIT,GATE
A-house slinding with steel racks + 2batt  ,GATE
A-house swing with lock + 2 batt  ,GATE
Button A-house ,GATE
centurion photobeam detectors wireless,GATE
centurion remote  button  2CHN,GATE
centurion remote button  4CHN,GATE
centurion remote button 4CHN-2,GATE
Centurion sliding Gate D20 SMART,GATE
centurion sliding gate D5,GATE
Centurion sliding Gate D5 SMART,GATE
Centurion Sliding Gate-D10,GATE
Centurion Sliding Gate-D10 Smart,GATE
Centurion slinding gate D10,GATE
Centurion swing  gate controller,GATE
centurion swing gate Arm,GATE
